From,To,Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
SULLIVAN LUDLAM STODDARD NEIGHBORHOOD ASSOC,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,5449,,,,1,,,
NYC PARKS,NORTHEAST BK HOUSING DEVELOPMENT CORP,,,,,,,,,NYC,,,,,,,,,,,,,,4621,4655,,,,1,,,
FRIENDS OF THE EAST SPRINGFIELD PLAYGROUND,MILLION TREES NYC,,,,,,,,,NYC,,,,,,,,,,,,,,101195,103985,,,,1,,,
NYC H2O,BILLION OYSTER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,100250,101339,,,,1,,,
GREEN CITY FORCE,FUND FOR PUBLIC HEALTH,,,,,,,,,NYC,,,,,,,,,,,,,,100781,100855,,,,1,,,
UPPER WEST SIDE RECYCLING,WEST 80S NEIGHBORHOOD ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,102069,102003,,,,1,,,
BALDWIN LEARNING CENTER COALITION,PS BX 440 DEWITT CLINTON HS,,,,,,,,,NYC,,,,,,,,,,,,,,3104,20066,,,,1,,,
FRIENDS OF DAG HAMMARSKJOLD PLAZA,METRO HOST,,,,,,,,,NYC,,,,,,,,,,,,,,20524,100748,,,,1,,,
ROCKAWAY BAY COASTAL ASSOC,NYC OFFICE OF SENATE- JAMES SANDERS JR,,,,,,,,,NYC,,,,,,,,,,,,,,20665,106763,,,,1,,,
FRIENDS OF DAG HAMMARSKJOLD PLAZA,GROW NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100882,100748,,,,1,,,
CIVITAS,NYC PARKS,,,,,,,,,,,,,,,,,,,,,,,4655,2883,,,,2,,,
NEW CANAAN LAND CONSERVATION TRUST,NEW CANAAN NATURE CENTER,,,,,,,,,region,,,,,,,,,,,,,,60775150,66098244,,,,1,,,
WATERFRONT ALLIANCE,CUNY,,,,,,,,,NYC,,,,,,,,,,,,,,8704,2037,,,,1,,,
COMMUNITY SOLUTIONS- BROWNSVILLE PARTNERSHIP,MISSION CONTINUES NYC,,,,,,,,,NYC,,,,,,,,,,,,,,20533,100356,,,,1,,,
NY4P,TA,,,,,,,,,NYC,,,,,,,,,,,,,,1535,1360,,,,1,,,
RISEBORO COMMUNITY PARTNERSHIP- BUSHWICK COOKS,HORTICULTURAL SOCIETY OF NY,,,,,,,,,NYC,,,,,,,,,,,,,,4638,20815,,,,1,,,
NEIGHBORHOOD NEIGHBORS,PARTNERSHIPS FOR PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4878,1343,,,,1,,,
NY4P,CON ED,,,,,,,,,NYC,,,,,,,,,,,,,,7058,1360,,,,1,,,
WESTINGHOUSE HS MARVINS GARDEN,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,1575,,,,1,,,
PROTECTORS OF PINE OAKS,GREENBELT CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,1243,1422,,,,1,,,
MASTERS OF SUCCESSION COLLECTIVE,6TH ST COMMUNITY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,5317,101162,,,,1,,,
BOY SCOUTS OF AMERICA- TROOP 199,BOY SCOUTS OF AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,2526,102760,,,,1,,,
FRIENDS OF BLEECKER ST PLAYGROUND,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,7001,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,RECYCLE-A-BICYLE,,,,,,,,,NYC,,,,,,,,,,,,,,1440,1313,,,,1,,,
NORWALK RIVER WATERSHED ASSOCIATION,WILTON LAND TRUST,,,,,,,,,region,,,,,,,,,,,,,,66070618,61483326,,,,1,,,
GOWANUS CANAL CONSERVANCY,GOWANUS HOUSES ART COLLECTIVE,,,,,,,,,NYC,,,,,,,,,,,,,,20368,100831,,,,1,,,
PARTNERSHIPS FOR PARKS,NYC H2O,,,,,,,,,NYC,,,,,,,,,,,,,,101339,4878,,,,1,,,
SOLAR ONE,UN INTERNATIONAL SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,7493,2063,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,PS BK 188,,,,,,,,,NYC,,,,,,,,,,,,,,8852,100500,,,,1,,,
NY LEAGUE OF CONSERVATION VOTERS,WATERFRONT ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,2037,4550,,,,1,,,
MERCY HOME FOR CHILDREN,BLOCK INSTITUTE,,,,,,,,,NYC,,,,,,,,,,,,,,102720,104606,,,,1,,,
PARTNERSHIPS FOR PARKS,BX CB8,,,,,,,,,NYC,,,,,,,,,,,,,,2659,4878,,,,1,,,
LAGUARDIA CORNER GARDENS,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,1301,,,,1,,,
FARMING CONCRETE,DESIGN TRUST FOR PUBLIC SPACE,,,,,,,,,NYC,,,,,,,,,,,,,,1129,103812,,,,1,,,
RIVER GARDEN,OSBORNE ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,8158,5164,,,,1,,,
SCIENCE AND RESILIENCE INSTITUTE AT JAMAICA BAY,USDA- FOREST SERVICE,,,,,,,,,NYC,,,,,,,,,,,,,,7426,101704,,,,1,,,
FRIENDS OF THE BAY,HEMPSTEAD HARBOR PROTECTION COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,20399,103976,,,,1,,,
SI CHAMBER OF COMMERCE FOUNDATION,NYC OFFICE OF GOVERNOR- STORM RECOVERY,,,,,,,,,NYC,,,,,,,,,,,,,,20655,101814,,,,1,,,
LA FAMILIA VERDE,MARY MITCHELL FAMILY AND YOUTH CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1526,1299,,,,1,,,
SNAP TO GROW URBAN FARM,K BK 448/ BK SCHOOL FOR COLLABORATIVE STUDIES,,,,,,,,,NYC,,,,,,,,,,,,,,100344,20865,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,TA,,,,,,,,,NYC,,,,,,,,,,,,,,1535,1457,,,,1,,,
PARTNERSHIPS FOR PARKS,BRINGING THE PEACE,,,,,,,,,NYC,,,,,,,,,,,,,,100284,4878,,,,1,,,
BCEQ,FRIENDS OF VAN CORTLANDT PARK,,,,,,,,,NYC,,,,,,,,,,,,,,1212,1061,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF WASHINGTON MARKET PARK,,,,,,,,,NYC,,,,,,,,,,,,,,107419,4878,,,,1,,,
EMPIRE DRAGON BOAT TEAM,GUARDIANS OF FLUSHING BAY,,,,,,,,,NYC,,,,,,,,,,,,,,100884,103694,,,,1,,,
SCIENCE AND RESILIENCE INSTITUTE AT JAMAICA BAY,NYC DEP,,,,,,,,,NYC,,,,,,,,,,,,,,4642,101704,,,,1,,,
EAST OF HUDSON WATERSHED CORP,TOWN OF NEW CASTLE,,,,,,,,,region,,,,,,,,,,,,,,20935,453809317,,,,1,,,
PARTNERSHIPS FOR PARKS,DEWITT CLINTON PARK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,20236,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,SUTTON AREA COMMUNITY,,,,,,,,,NYC,,,,,,,,,,,,,,5487,4878,,,,1,,,
BK APPLE GARDEN GROUP,PROSPECT PARK ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1421,100318,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF MANHATTAN DOG BEACH RUN,,,,,,,,,NYC,,,,,,,,,,,,,,100756,4878,,,,1,,,
BK NATURE CLUB,TREES NY,,,,,,,,,NYC,,,,,,,,,,,,,,1536,100342,,,,1,,,
CORNELL COOPERATIVE EXTENSION- PUTNAM COUNTY,NYC DEP,,,,,,,,,region,,,,,,,,,,,,,,4642,116081423,,,,1,,,
CORNELL COOPERATIVE EXTENSION- ULSTER COUNTY,CATSKILL CENTER,,,,,,,,,region,,,,,,,,,,,,,,1520,146036893,,,,1,,,
CONEY ISLAND BEAUTIFICATION PROJECT,NYC DEP,,,,,,,,,NYC,,,,,,,,,,,,,,4642,100500,,,,1,,,
FOREST PARK TRUST,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,3393,,,,1,,,
SAINT NICHOLAS MIRACLE GARDEN,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,106831,,,,1,,,
RAMAPOUGH CONSERVANCY,OFFICE OF NJ SENATE- GERRY CARDINALE,,,,,,,,,region,,,,,,,,,,,,,,20661,454068649,,,,1,,,
WATERFRONT ALLIANCE,BK HISTORIC RAILWAY ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,102880,2037,,,,1,,,
PROSPECT FARM,BK BOTANIC GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,1067,101564,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,WATERFRONT ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,2037,1457,,,,1,,,
Q COMMUNITY HOUSE,CUNY,,,,,,,,,NYC,,,,,,,,,,,,,,8704,3383,,,,1,,,
TRIBECA TRUST,HUMAN-SCALE NYC,,,,,,,,,NYC,,,,,,,,,,,,,,20418,107626,,,,1,,,
HUNTERS POINT PARKS CONSERVANCY,NY CARES,,,,,,,,,NYC,,,,,,,,,,,,,,1351,104420,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF THE LOTT HOUSE,,,,,,,,,NYC,,,,,,,,,,,,,,20343,4878,,,,1,,,
NEIGHBORHOOD ADVISORY COMMITTEE GARDEN,SUPPORTIVE HOUSING NETWORK OF NY,,,,,,,,,NYC,,,,,,,,,,,,,,20903,1341,,,,1,,,
SWALE,BIOME ARTS,,,,,,,,,NYC,,,,,,,,,,,,,,20089,107273,,,,1,,,
DUMBO IMPROVEMENT DISTRICT,BK BRIDGE PARK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,2008,100567,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,TRUST FOR PUBLIC LAND,,,,,,,,,NYC,,,,,,,,,,,,,,1541,1457,,,,1,,,
WYCKOFF BOND GARDEN,HOYT ST GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,3851,1584,,,,1,,,
PACIFIC STREET BK BEARS COMMUNITY GARDEN,MAKE MUSIC NY,,,,,,,,,NYC,,,,,,,,,,,,,,20503,1066,,,,1,,,
GARDEN KITCHEN LAB,UN,,,,,,,,,NYC,,,,,,,,,,,,,,107696,5386,,,,1,,,
LOWER MANHATTAN CULTURAL COUNCIL,TWO BRIDGES NEIGHBORHOOD COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,5634,101119,,,,1,,,
PARTNERSHIPS FOR PARKS,ACHIEVEMENT FIRST,,,,,,,,,NYC,,,,,,,,,,,,,,102297,4878,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,NYRP,,,,,,,,,NYC,,,,,,,,,,,,,,1356,1313,,,,1,,,
WATERFRONT ALLIANCE,BLUE SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,102729,2037,,,,1,,,
SCIENCE AND RESILIENCE INSTITUTE AT JAMAICA BAY,NATURAL AREAS CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,101232,101704,,,,1,,,
CENTER FOR URBAN PEDAGOGY,DAMASCUS CITIZENS FOR SUSTAINABILITY,,,,,,,,,NYC,,,,,,,,,,,,,,20228,100407,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,LOWLINE,,,,,,,,,NYC,,,,,,,,,,,,,,101120,1313,,,,1,,,
GOWANUS DREDGERS CANOE,GOWANUS CANAL COMMUNITY ADVISORY GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,20366,1229,,,,1,,,
PARTNERSHIPS FOR PARKS,NYC CITY COUNCIL- DANEEK MILLER,,,,,,,,,NYC,,,,,,,,,,,,,,20618,4878,,,,1,,,
PARTNERSHIPS FOR PARKS,MONTEFIORE PARK NEIGHBORHOOD ASSOCIATION,,,,,,,,,NYC,,,,,,,,,,,,,,4379,4878,,,,1,,,
LONG ISLAND CITY PARTNERSHIP,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,101113,,,,1,,,
PHOENIX COMMUNITY GARDEN,GRANITE ST COMMUNITY GARDEN,,,,,,,,,NYC,,,,,,,,,,,,,,3630,101526,,,,1,,,
EAST OF HUDSON WATERSHED CORP,TOWN OF POUND RIDGE,,,,,,,,,region,,,,,,,,,,,,,,20943,453809317,,,,1,,,
WATERFRONT ALLIANCE,ARUP,,,,,,,,,NYC,,,,,,,,,,,,,,1028,2037,,,,1,,,
WATERFRONT MUSEUM,HUDSON RIVER FOUNDATION,,,,,,,,,NYC,,,,,,,,,,,,,,1272,1275,,,,1,,,
BX RIVER ALLIANCE,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1063,,,,1,,,
GOWANUS CANAL CONSERVANCY,OIL PAINTERS OF AMERICA,,,,,,,,,NYC,,,,,,,,,,,,,,20712,100831,,,,1,,,
BK BRIDGE PARK CONSERVANCY,PS BK 77,,,,,,,,,NYC,,,,,,,,,,,,,,7240,2008,,,,1,,,
TISHMAN ENVIRONMENT AND DESIGN CENTER,NYC ENVIRONMENTAL JUSTICE ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,4649,101932,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,INTERSTATE ENVIRONMENTAL COMMISSION,,,,,,,,,NYC,,,,,,,,,,,,,,20428,1375,,,,1,,,
SWIM COALITION,PRATT INSTITUTE,,,,,,,,,NYC,,,,,,,,,,,,,,20747,101675,,,,1,,,
PARTNERSHIPS FOR PARKS,JH GREEN,,,,,,,,,NYC,,,,,,,,,,,,,,20449,4878,,,,1,,,
POMONOK RESIDENT GREEN COMMITTEE,CUNY,,,,,,,,,NYC,,,,,,,,,,,,,,8704,101363,,,,1,,,
BANG AWARENESS ALCOHOL PREVENTION,AFRICAN AMERICAN DAY PARADE COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,20020,2388,,,,1,,,
PARTNERSHIPS FOR PARKS,VOLUNTEERS FOR ISHAM PARK,,,,,,,,,NYC,,,,,,,,,,,,,,107829,4878,,,,1,,,
NORTHWEST BX COMMUNITY AND CLERGY COALITION,THE POINT,,,,,,,,,NYC,,,,,,,,,,,,,,5551,4630,,,,1,,,
PARTNERSHIPS FOR PARKS,LONG ISLAND CITY PARTNERSHIP,,,,,,,,,NYC,,,,,,,,,,,,,,101113,4878,,,,1,,,
SOCRATES SCULPTURE PARK,PLANT SPECIALISTS,,,,,,,,,NYC,,,,,,,,,,,,,,8241,1486,,,,1,,,
FRIENDS OF DOWNTOWN PARKS NYC/ GREEN BELOW 14,PARTNERSHIPS FOR PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4878,461974668,,,,1,,,
UPPER WEST SIDE RECYCLING,COLUMBUS AMSTERDAM BID,,,,,,,,,NYC,,,,,,,,,,,,,,1106,102003,,,,1,,,
WOODBRIDGE PARK ASSOC- NOTABLE TREES PROJECT,WOODBRIDGE PARK ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,237361141,21036,,,,1,,,
GOWANUS CANAL CONSERVANCY,NORTH CREEK NURSERIES,,,,,,,,,NYC,,,,,,,,,,,,,,20592,100831,,,,1,,,
PS SI 450/CURTIS HS,PARTNERSHIP FOR A HEALTHIER SI,,,,,,,,,NYC,,,,,,,,,,,,,,20734,106137,,,,1,,,
WEST 44TH ST BETTER BLOCK / FRIENDS OF PIER 84,M CB4,,,,,,,,,NYC,,,,,,,,,,,,,,8444,107897,,,,1,,,
FRIENDS OF WINGATE PARK,NYC OFFICE OF BORO PRES- BK,,,,,,,,,NYC,,,,,,,,,,,,,,2632,103995,,,,1,,,
NYC H2O,RIVERKEEPER,,,,,,,,,NYC,,,,,,,,,,,,,,1450,101339,,,,1,,,
EAST MIDTOWN PARTNERSHIP,M CB6,,,,,,,,,NYC,,,,,,,,,,,,,,105004,3201/1149,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,CHINATOWN PARTNERSHIP,,,,,,,,,NYC,,,,,,,,,,,,,,8561,1313,,,,1,,,
TEWKSBURY LAND TRUST A NJ NOT FOR PROFIT CORP,NJ CONSERVATION FOUNDATION,,,,,,,,,region,,,,,,,,,,,,,,2043,223270128,,,,1,,,
FARM SCHOOL NYC,EARTH MATTER,,,,,,,,,NYC,,,,,,,,,,,,,,100580,100668,,,,1,,,
GOTHAM WHALE,RIVER PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,1448,100827,,,,1,,,
PARTNERSHIPS FOR PARKS,57 OLD TIMERS INC,,,,,,,,,NYC,,,,,,,,,,,,,,20011,4878,,,,1,,,
FRIENDS OF CUNNINGHAM PARK,PARTNERSHIPS FOR PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4878,1189,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,1457,,,,1,,,
JAMAICA BAY ECOWATCHERS,AMERICAN LITTORAL SOCIETY,,,,,,,,,NYC,,,,,,,,,,,,,,2003,1285,,,,1,,,
FRIENDS OF INWOOD HILL PARK,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,106944,,,,1,,,
NY4P,BX COMMUNITY HEALTH NETWORK,,,,,,,,,NYC,,,,,,,,,,,,,,20135,1360,,,,1,,,
PARKSIDE PLAZA COMMITTEE,HORTICULTURAL SOCIETY OF NY,,,,,,,,,NYC,,,,,,,,,,,,,,4638,101504,,,,1,,,
WORD UP COMMUNITY BOOKSHOP/LIBRERÍA COMUNITARIA,WEACT,,,,,,,,,NYC,,,,,,,,,,,,,,1573,107995,,,,1,,,
URBAN RESOURCES INITIATIVE,LOWER STATE,,,,,,,,,region,,,,,,,,,,,,,,20495,61343983,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,NEW SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,1528,1457,,,,1,,,
GREEN MAP NYC,596 ACRES,,,,,,,,,NYC,,,,,,,,,,,,,,100086,1237,,,,1,,,
PARTNERSHIPS FOR PARKS,CLINTON HOUSING DEVELOPMENT CORP,,,,,,,,,NYC,,,,,,,,,,,,,,2898,4878,,,,1,,,
KELLY STREET GARDEN,LAUNDROMAT PROJECT,,,,,,,,,NYC,,,,,,,,,,,,,,101892,101044,,,,1,,,
GARDEN KITCHEN LAB,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,5386,,,,1,,,
FRIENDS OF THE WILLIAMSBRIDGE OVAL,MOSHOLU PRESERVATION CORPORATION,,,,,,,,,NYC,,,,,,,,,,,,,,1332,103989,,,,1,,,
PARTNERSHIPS FOR PARKS,FORT GREENE PARK CONSERVANCY,,,,,,,,,NYC,,,,,,,,,,,,,,100712,4878,,,,1,,,
LOWER EAST SIDE ECOLOGY CENTER,SUSTAINABLE NYC,,,,,,,,,NYC,,,,,,,,,,,,,,20905,1313,,,,1,,,
SI CHAMBER OF COMMERCE FOUNDATION,MTA,,,,,,,,,NYC,,,,,,,,,,,,,,4423,101814,,,,1,,,
BROOKLYN QUEENS LAND TRUST,CORNELL COOPERATIVE EXTENSION,,,,,,,,,NYC,,,,,,,,,,,,,,3021,1075,,,,1,,,
FRIENDS OF THE BAY,OYSTER BAY/COLD SPRING HARBOR PROTECTION COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,20727,103976,,,,1,,,
GREENWOOD CEMETARY ASSOC,NYS DEC,,,,,,,,,NYC,,,,,,,,,,,,,,4561,1525,,,,1,,,
FRIENDS OF SHERMAN CREEK CONSERVANCY,M WETLANDS AND WILDLIFE ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,101147,100763,,,,1,,,
UNDERWATER NY,SWALE,,,,,,,,,NYC,,,,,,,,,,,,,,107273,105430,,,,1,,,
ROCKAWAY WATERFRONT ALLIANCE,NYU,,,,,,,,,NYC,,,,,,,,,,,,,,4569,1457,,,,1,,,
SAW MILL RIVER AUDUBON,NYS ORNITHOLOGICAL ASSOC,,,,,,,,,region,,,,,,,,,,,,,,20706,136161411,,,,1,,,
PARTNERSHIPS FOR PARKS,FREDERICK DOUGLAS HS,,,,,,,,,NYC,,,,,,,,,,,,,,3417,4878,,,,1,,,
RIVERVIEW NEIGHBORHOOD ASSOC,CITY OF JERSEY CITY,,,,,,,,,region,,,,,,,,,,,,,,20187,223531910,,,,1,,,
BERGEN SWAN,NATURE PROGRAM COOPERATIVE,,,,,,,,,region,,,,,,,,,,,,,,20568,222957403,,,,1,,,
BCEQ,LOVING THE BX,,,,,,,,,NYC,,,,,,,,,,,,,,104906,1061,,,,1,,,
FRIENDS OF MACDONALD PARK,NYC CITY COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,1353,20333,,,,1,,,
PARTNERSHIPS FOR PARKS,PROPHECY GARDENS,,,,,,,,,NYC,,,,,,,,,,,,,,101563,4878,,,,1,,,
URBAN WORKSHOP NYC,GREEN GUERILLAS,,,,,,,,,NYC,,,,,,,,,,,,,,1236,102022,,,,1,,,
PIONEER WORKS,RED HOOK JUSTICE CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,20801,101530,,,,1,,,
PARTNERSHIPS FOR PARKS,TRIPS FOR KIDS MNY,,,,,,,,,NYC,,,,,,,,,,,,,,20956,4878,,,,1,,,
URBAN RESOURCES INITIATIVE,CHERRY ANN,,,,,,,,,region,,,,,,,,,,,,,,20169,61343983,,,,1,,,
SWIM STRONG FOUNDATION,US COAST GUARD,,,,,,,,,NYC,,,,,,,,,,,,,,7415,107278,,,,1,,,
DIRECTIONS FOR OUR YOUTH,CLAREMONT NEIGHBORHOOD CENTERS,,,,,,,,,region,,,,,,,,,,,,,,2887,112249900,,,,1,,,
OCEAN BY THE PARK TREE CLUB,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,101390,,,,1,,,
PROSPECT PARK ALLIANCE,NYS PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4669,1421,,,,1,,,
FRIENDS OF THE BAY,MANHASSET BAY PROTECTION COMMITTEE,,,,,,,,,NYC,,,,,,,,,,,,,,20508,103976,,,,1,,,
NY4P,TREES NY,,,,,,,,,NYC,,,,,,,,,,,,,,1536,1360,,,,1,,,
PS BK 54 SCHOOL- WELLNESS COUNCIL,UNIVERSITY OF KANSAS,,,,,,,,,NYC,,,,,,,,,,,,,,20967,106069,,,,1,,,
EARTH CITIZENS CLUB AT ENHRENREICH-AUSTIN PLAYGROUND,GREENING GREENPOINT,,,,,,,,,NYC,,,,,,,,,,,,,,104187,100578,,,,1,,,
GREENE ACRES COMMUNITY GARDEN,NYRP,,,,,,,,,NYC,,,,,,,,,,,,,,1356,1244,,,,1,,,
WEST ISLIP BEAUTIFICATION SOCIETY,AMERICAN LEGION,,,,,,,,,region,,,,,,,,,,,,,,20031,113098266,,,,1,,,
NY LEAGUE OF CONSERVATION VOTERS,NEW YORK LAWYERS FOR THE PUBLIC INTEREST,,,,,,,,,NYC,,,,,,,,,,,,,,20579,4550,,,,1,,,
AMERICAN LITTORAL SOCIETY,JAMAICA BAY ECOWATCHERS,,,,,,,,,NYC,,,,,,,,,,,,,,1285,2003,,,,1,,,
SEEDBALL,PS BK 84,,,,,,,,,NYC,,,,,,,,,,,,,,4823,106905,,,,1,,,
LONG ISLAND CITY ROOTS,GROW NYC,,,,,,,,,NYC,,,,,,,,,,,,,,100882,1310,,,,1,,,
GOWANUS CANAL CONSERVANCY,SUCCESS ACADEMY HS PROSPECT HTS,,,,,,,,,NYC,,,,,,,,,,,,,,107231,100831,,,,1,,,
ROCKING THE BOAT,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,1458,,,,1,,,
SCIENCE AND RESILIENCE INSTITUTE AT JAMAICA BAY,NYC PARKS,,,,,,,,,NYC,,,,,,,,,,,,,,4655,101704,,,,1,,,
WATERFRONT ALLIANCE,SARAH LAWRENCE COLLEGE,,,,,,,,,NYC,,,,,,,,,,,,,,101690,2037,,,,1,,,
PARTNERSHIPS FOR PARKS,FORT HAMILTON,,,,,,,,,NYC,,,,,,,,,,,,,,20291,4878,,,,1,,,
596 ACRES,NYC CITY COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,1353,100086,,,,1,,,
BCEQ,URBAN WATERS FEDERAL PARTNERSHIP,,,,,,,,,NYC,,,,,,,,,,,,,,102021,1061,,,,1,,,
JH SCRAPS,JACKSON HEIGHTS BEAUTIFICATION GROUP,,,,,,,,,NYC,,,,,,,,,,,,,,1282,104649,,,,1,,,
PS 48 SOUTH BX SCHOOLYARD GARDEN AND OUTDOOR CLASSROOM,NY4P,,,,,,,,,NYC,,,,,,,,,,,,,,1360,107018,,,,1,,,
BCEQ,BX RIVER ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1063,1061,,,,1,,,
COASTAL RESEARCH AND EDUCATION SOCIETY OF LONG ISLAND,RIVERHEAD FOUNDATION,,,,,,,,,NYC,,,,,,,,,,,,,,2058,2012,,,,1,,,
SAINT NICHOLAS MIRACLE GARDEN,CITIZENS,,,,,,,,,NYC,,,,,,,,,,,,,,2848,106831,,,,1,,,
MIANUS RIVER GORGE,HOFSTRA UNIVERSITY,,,,,,,,,NYC,,,,,,,,,,,,,,3807,101177,,,,1,,,
UPPER WEST SIDE RECYCLING,LOWER EAST SIDE ECOLOGY CENTER,,,,,,,,,NYC,,,,,,,,,,,,,,1313,102003,,,,1,,,
PARTNERSHIPS FOR PARKS,FRIENDS OF THOMAS GREENE PARK,,,,,,,,,NYC,,,,,,,,,,,,,,1190,4878,,,,1,,,
EPA- NYNJ HARBOR ESTUARY PROGRAM,BAYSHORE REGIONAL WATERSHED COUNCIL,,,,,,,,,NYC,,,,,,,,,,,,,,2005,1375,,,,1,,,
SOUTH MOUNTAIN CONSERVANCY,JERSEY CARES,,,,,,,,,region,,,,,,,,,,,,,,20446,562410919,,,,1,,,
COMMUNITY BASED ORGANIZATION FOR ALL NEIGHBORHOODS,BREUKELEN RESIDENT ASSOC,,,,,,,,,NYC,,,,,,,,,,,,,,102773,103279,,,,1,,,
CT STATE GRANGE PATRONS OF HUSBANDRY- CANNON GRANGE #152,WILTON PUBLIC LIBRARY,,,,,,,,,region,,,,,,,,,,,,,,21032,237584920,,,,1,,,
CITY PARKS FOUNDATION,BX RIVER ALLIANCE,,,,,,,,,NYC,,,,,,,,,,,,,,1063,7765,,,,1,,,
FRIENDS OF RYE NATURE CENTER,TIMBERLAND,,,,,,,,,region,,,,,,,,,,,,,,20917,136176032,,,,1,,,
GOWANUS DREDGERS CANOE,RED HOOK BOATERS,,,,,,,,,NYC,,,,,,,,,,,,,,5116,1229,,,,1,,,
FRIENDS OF DAG HAMMARSKJOLD PLAZA,THE FAMILY SCHOOL,,,,,,,,,NYC,,,,,,,,,,,,,,20913,100748,,,,1,,,
CHILDRENS GARDEN AT CAMPOS,NYC COMMUNITY GARDEN COALITION,,,,,,,,,NYC,,,,,,,,,,,,,,1377,103108,,,,1,,,
GOWANUS CANAL CONSERVANCY,AMPLE HILLS CREAMERY,,,,,,,,,NYC,,,,,,,,,,,,,,20038,100831,,,,1,,,
Q GARDENS,KIDDIE SCIENCE,,,,,,,,,NYC,,,,,,,,,,,,,,104716,101571,,,,1,,,
