Label,Type,Tags,Description,BoundText,Group Focus,MapYN,Mission,NYC_region,OrgCity,OrgEmail,OrgName,OrgPhone,OrgState,OrgStreet1,OrgTwitter,OrgType,OrgTypeTxt,OrgWebSite,OrgZip,PctStewTxt,PopID,PopID _ALTER,Respondent PopID,Sector,Site Type,Stewardship Function,Version,YrFnd_Num,indegree,metrics::last
FRIENDS OF HISTORIC NEW UTRECHT,,,,"New Utrecht Reformed Church Cemetery: (16th Ave. & 84th St, 11214) grounds-keeping, research, tours

New Utrecht Reformed church Campus: (18th Ave & 84th St. 11214) historical and cultural events, office, fundraising, and research",Other,Yes,"To inform our students and neighbors throughout Brooklyn about the history and significance of the old town of New Utrecht and its principal surviving landmarks, such and the New Utrecht Reformed (dutch) Church and the Old New Utrecht Cemetery.  FHNU con",,Brooklyn,mail@historicnewutrecht.org,Friends of Historic New Utrecht,718-256-7173,NY,1831 84th St.,,1,501(c)(3) (or has applied),http://historicnewutrecht.org,11214,20-39%,102874,,,Civic,Other,MANAGE,1,1997,0,0
PLYMOUTH LAND TRUST,,,,"On our lands in Plymouth, CT
-South Main St.
-North St.",Other,Yes,"To permanently protect land in Plymouth, CT, for its natural, recreational, scientific, scenic, historical, or agricultural value.",,Plymouth,info@plymouthlandtrust.org,"Plymouth Land Trust, Inc.",,CT,P.O. Box 76,,1,501(c)(3) (or has applied),http://Plymouthlandtrust.org,6782,80-100%,237090075,,,Civic,Forest / Woodland,CONSERVE,1,1967,0,0
UNITED FOR ACTION,,,,,,,,,,,,,,,,,,,,,20966,,,Civic,,,,,1,1
NYS OFFICE OF ASSEMBLY- ALICIA HYNDMAN,,,,,,,,,,,,,,,,,,,,,20688,,,Government,,,,,1,1
FRIENDS OF CUNNINGHAM PARK,,,,"Cunningham Park, main entrance is at Union Turnpike and 196 Street. The park itself is about 350 acres",Community improvement and capacity building,Yes,To make Cunningham Park the premier park in northeast Queens.,,Flushing,friendsofcunninghampark@yahoo.com,"Friends of Cunningham Park, Inc.",718-217-6452,NY,P.O. Box 660134,,1,501(c)(3) (or has applied),http://friendsofcunninghampark.org,11366,1-19%,1189,,,Civic,Park,ADVOCATE,1,1983,1,1
GOLDEN EARTHWORM FARM,,,,,,,,,,,,,,,,,,,,,20364,,,Civic,,,,,1,1
ST JOSEPHS COLLEGE,,,,,,Yes,,,Patchogue,,St. Joseph's College Sustainability Committee,,NY,155 W. Roe Blvd,,4,School-affiliated group,http://sjcny.edu,11742,,107096,,,Civic,,EDUCATE,1,,0,0
CHANCE ECOLOGIES,,,,,,,,,,,,,,,,,,,,,103065,,,Civic,,,,,1,1
FRIENDS OF LENTOL GARDEN,,,,,,,,,,,,,,,,,,,,,3477,,,Civic,,,,,1,1
FEDERATED CONSERVATIONISTS OF WESTCHESTER COUNTY,,,,,,,,,,,,,,,,,,,,,20279,,,Civic,,,,,1,1
TOWN OF LEWISBORO,,,,,,,,,,,,,,,,,,,,,20932,,,Government,,,,,1,1
MARPILLERO POLLAK ARCHITECTS,,,,,,,,,,,,,,,,,,,,,105044,,,Business,,,,,1,1
HEBREW INSTITUTE OF RIVERDALE,,,,,,,,,,,,,,,,,,,,,20396,,,Civic,,,,,1,1
FRIENDS OF MILE RUN BROOK,,,,,,,,,,,,,,,,,,,,,20336,,,Civic,,,,,1,1
CUNY - BK COLLEGE,,,,,,,,,,,,,,,,,,,,,7270,,,School,,,,,1,1
BK HEIGHTS ASSOC- PROMENADE GARDEN CONSERVANCY,,,,"The garden on the Brooklyn Heights Promenade

From Remset St. to Orange St.",Environment,Yes,To maintain the 2.2 acre gardens that border the Brooklyn Heights Promenade.,,Brooklyn,pgc@thebha.org,Promenade Garden Conservancy,718-858-9193,NY,65 Pierrepont St.,,11,Public-private partnership,http://promenadegardenconservancy.org,11201,80-100%,1074,,,Civic,Park,MANAGE,1,2009,0,0
MS BK 246 WALT WHITMAN SCHOOL- GARDEN,,,,,Food,Yes,"The goal of this group is to educate, and provide community citizens about healthy choices of food.",,BROOKLYN,,MS 246 School Garden,718-282-523,NY,72 Veronica Place,,,,,11226,20-39%,101127,,,Civic,Community Garden,TRANSFORM,1,2016,0,0
BAILEY SCHOOL OF EXCELLENCE,,,,,,,,,,,,,,,,,,,,,20065,,,Civic,,,,,1,1
GOTHAM WHALE,,,,"we monitor water quality and pathogen testing at seven sites around Staten Island
near Alice Austen House 40.615683 x -74.062819
south of homeport 40.621432 x -74.069902
at Lighthouse Museum 40.640523 x -74.073037
Dock at Snug Harbor 40.64538 x -74.10171",Animal related,Yes,"To study, advocate for, and educate about the whales and marine mammals of New York City, through Citizen Science.",,Staten Island,,Gotham Whale,,NY,10 Bay Street Landng A5G,@gothamwhale,1,501(c)(3) (or has applied),http://gothamwhale.org,10301,80-100%,100827,,,Civic,Waterfront / Beach / Shoreline,ADVOCATE,1,2015,2,2
FRIENDS OF ELIZABETH ST GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
FUND FOR PUBLIC HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
WILLIAMSBURG Y HEAD START,,,,,,,,,,,,,,,,,,,,,21028,,,Civic,,,,,1,1
HELLGATE HILL-HIGHGATE COMM ASSN,,,,,,,,,,,,,,,,,,,,,100922,,,Civic,,,,,1,1
SANE ENERGY PROJECT,,,,,,,,,,,,,,,,,,,,,106848,,,Civic,,,,,1,1
GOLDMAN SACHS,,,,,,,,,,,,,,,,,,,,,3614,,,Civic,,,,,1,1
DAISY STREET,,,,,,,,,,,,,,,,,,,,,20227,,,Civic,,,,,1,1
ARTS GOWANUS,,,,,,,,,,,,,,,,,,,,,100172,,,Civic,,,,,2,2
AMERICAN LEGION,,,,,,,,,,,,,,,,,,,,,20031,,,Civic,,,,,2,2
PS Q440 FOREST HILLS HS,,,,,,,,,,,,,,,,,,,,,3386,,,School,,,,,1,1
SOUTH KENT SCHOOL,,,,,,,,,,,,,,,,,,,,,20874,,,School,,,,,1,1
JACQUES MARCHAIS MUSEUM OF TIBETAN ART,,,,Lighthouse Avenue between Terrace Ct. and Richmond Rd.,"Arts, culture, creative practices",Yes,To preserve and exhibit the art and culture of Tibet and the Himalayas and to present this art to a world audience.,,Staten Island,info@tibetanmuseum.org,Jacques Marchais Museum of Tibetan Art,718-987-3500,NY,338 Lighthouse Ave,@tibetanmuseum,1,501(c)(3) (or has applied),http://tibetanmuseum.org,10306,1-19%,104603,,,Civic,Community Garden,MANAGE,1,1945,0,0
NORTHWEST ATLANTIC SEAL RESEARCH CONSORTIUM,,,,,,,,,,,,,,,,,,,,,20597,,,Civic,,,,,1,1
WASHINGTON SQUARE PARK CONSERVANCY,,,,"Washington Square Park, Manhattan",Community improvement and capacity building,Yes,The Washington Square Park Conservancy (WSPC) is a 501(c)(3) not for profit organization working with the New York City Parks Department and neighborhood groups to ensure that Washington Square Park continues as a diverse and historical urban green space,,New York,hello@washingtonsquareparkconservancy.org,Washington Square Park Conservancy,,NY,"P.O. Box 1624, Cooper Station",@WSPConservancy,11,Public-private partnership,http://washingtonsquareparkconservancy.org,10276,40-59%,102054,,,Civic,Park,MANAGE,1,2012,3,3
SACK-WERN HOUSES RESIDENT ASSOC,,,,"Soundview Area  bordering Seward Avenue and Lafayette Avenue,  Randall Avenue,  including Noble Avenue and  Croes Avenue.",Community improvement and capacity building,Yes,We inform Residents about the things they need to do to keep themselves safe in the community and to inform responsible parties when  repairs need to be done both inside and outside of their residence.   We also inform about training and workshops happen,,Bronx,swhrc.s@hotmail.com,Sack-Wern Houses Resident Association,,NY,"710 Noble Avenue, Apt. 1A",,3,Group without 501(c)(3) or 501(c)(4) status,,10473,1-19%,105639,,,Civic,Athletic field,EDUCATE,1,1977,0,0
BEST WORKPLACES FOR COMMUTERS,,,,,,,,,,,,,,,,,,,,,20082,,,Civic,,,,,1,1
CAYOLE CRUISES,,,,,,,,,,,,,,,,,,,,,20153,,,Business,,,,,1,1
GOWANUS DREDGERS,,,,,,,,,,,,,,,,,,,,,100832,,,Civic,,,,,2,2
PS BK 54 SCHOOL- WELLNESS COUNCIL,,,,"The Monarch PRIDE Way Station and vegetable, spice garden are located in front, side, and back of PS 54 located on 195  Sanford Street, Brooklyn NY, 11205",Education,Yes,"Our groups goals are to instill the feelings of community stewardship in our students by initiating projects focused around plant and insect conservation, And sustaining our environment.",,Brooklyn,,PS 54 School Wellness Council,718-834-6752,NY,195 Sandford Street,,4,School-affiliated group,,11205,80-100%,106069,,,Civic,School yard / Outdoor classroom,EDUCATE,1,2008,0,0
FRIENDS OF THE GREAT SWAMP,,,,,,,,,,,,,,,,,,,,,161526251,,,Civic,,,,,1,1
PALISADES INTERSTATE PARK COMMISSION,,,,,,,,,,,,,,,,,,,,,20730,,,Civic,,,,,1,1
NIEUW AMERSFOORT COMMUNITY ASSOC,,,,,,,,,,,,,,,,,,,,,20581,,,Civic,,,,,1,1
52 PEOPLE FOR PROGRESS,,,,,,,,,,,,,,,,,,,,,1004,,,Civic,,,,,1,1
MYRTLE VILLAGE GREEN,,,,,,,,,,,,,,,,,,,,,101229,,,Civic,,,,,1,1
HELPING HANDS OF NJ,,,,,,,,,,,,,,,,,,,,,20398,,,Civic,,,,,1,1
SCANTLEBURY PARK,,,,,,,,,,,,,,,,,,,,,20846,,,Civic,,,,,1,1
FUTURE GREEN STUDIO,,,,,,,,,,,,,,,,,,,,,20353,,,Civic,,,,,1,1
GREEN TEENS,,,,,,,,,,,,,,,,,,,,,7223,,,Civic,,,,,1,1
FRIENDS OF ART PARK ALLIANCE,,,,,,,,,,,,,,,,,,,,,100737,,,Civic,,,,,1,1
"ASH CREEK CONSERVATION ASSOCIATION, INC",,,,"The Ash Creek tidal estuary located on the border of Bridgeport and Fairfield, CT",Environment,,"To preserve and protect one of the few remaining tidal estuaries in an urban area which still provides an important habitat for migratory shorebirds, oysters and other shellfish, and an opportunity to educate the public about this amazing, fragile, and e",,Bridgeport,ashcreekassoc@optonline.net,"Ash Creek Conservation Association, Inc.",203-335-6690,CT,132 Flandus St.,@gail5,1,501(c)(3) (or has applied),http://ashcreekassoc.org,6604,80-100%,31027,,,Civic,Salt Marsh,ADVOCATE,2,2004,0,0
SUNSET PARK COMPOST PROJECT,,,,,,,,,,,,,,,,,,,,,107243,,,Civic,,,,,1,1
NY LANDMARKS CONSERVANCY,,,,,,Yes,,,New York,info@nylandmarks.org,The New York Landmarks Conservancy,212-995-5260,NY,"One Whitehall Street, 21st Floor",@NYLCstaff,1,501(c)(3) (or has applied),http://nylandmarks.org,1000,,4548,,,Civic,,None of the above,1,,1,1
CIVITAS,,,,East of Central Park60th to 145th st.,Other,,To improve the urban quality of life in NYC,,Lexington,info@civitasnyc.org,"Civitas Citizens, INC.",212-996-0745,NY,1457 Lexington Ave,,1,501(c)(3) (or has applied),http://civitasnyc.org,10128,20-39%,2883,,,Civic,Bike trails / Greenway/Rail-trail,ADVOCATE,2,1971,2,2
WELLFUL ENVIRONMENT,,,,The Borough of Richmond County,"Public health (including mental health, crisis intervention, health care)",Yes,We all make the world what it is and together it can be better for all!,,Staten Island,wellfulenvironment@gmail.com,Wellful Environment,718-981-5984,NY,334 York Ave,,11,Public-private partnership,http://wellfulenvironment.org,10301,60-79%,107891,,,Civic,Community Garden,TRANSFORM,1,2013,0,0
ASPETUCK LAND TRUST,,,,,,,,,,,,,,,,,,,,,66088827,,,Civic,,,,,1,1
TOTTENVILLE HISTORICAL SOCIETY/TOTTENVILLE IMPROVEMENT COUNCIL,,,,"Primarily within the zip code 10307 specifically in Conference House Park where we (1) continue to upgrade and maintain outdoor spaces (i.e., gardens) and (2) installed trail markers.  Also, maintained flower beds at the Staten Island Railway Tottenvill",Education,Yes,"To collect, document and preserve the history and culture of the former village of Tottenville, Staten Island, NY and vicinity.",,Staten Island,info@tottenvillehistory.com,Tottenville Historical Society / Tottenville Improvement Council,718-887-9125,NY,P.O. Box 70185,@TottenvilleHist,1,501(c)(3) (or has applied),http://tottenvillehistory.com,10307,1-19%,5591,,,Civic,Park,PARTICIPATE/PARTNER/SUPPORT,1,2005,0,0
NEW SETTLEMENT APARTMENTS,,,,,,,,,,,,,,,,,,,,,20577,,,Civic,,,,,0,0
PS 201 Q,,,,,,,,,,,,,,,,,,,,,20749,,,School,,,,,1,1
NATIVE PLANT SOCIETY OF NJ,,,,,,,,,,,,,,,,,,,,,2039,,,Civic,,,,,1,1
WILSON FRIENDS OF E RIVER PLAYGROUND,,,,None,,Yes,,,New york,,Wilson Housing 405,646-489-1487,NY,405 East 105 Street,,3,Group without 501(c)(3) or 501(c)(4) status,,10029,,107956,,,Civic,,MONITOR,1,,1,1
NY RELEAF,,,,,,,,,,,,,,,,,,,,,4555,,,Civic,,,,,1,1
EL PUENTE,,,,"Garden on South 2nd & Roebling 
Park on South 4th & Roebling
Air Quality monitoring in parks in Williamsburg and Bushwick
Bushwick Inlet Park",Youth,Yes,"EL PUENTE is a 501c(3) non-profit organization that promotes leadership for peace and justice through the engagement of members (youth and adult) in the arts, education, scientific research, wellness and environmental action.",,Brooklyn,,El Puente,,NY,211 South 4th,,1,501(c)(3) (or has applied),http://elpuente.us,11211,20-39%,3258,,,Civic,Community Garden,MANAGE,1,1982,7,7
BUCKLEY SCHOOL,,,,,,,,,,,,,,,,,,,,,20129,,,School,,,,,1,1
MARCUS GARVEY PARK ALLIANCE,,,,,,,,,,,,,,,,,,,,,1320,,,Civic,,,,,2,2
SPRIG,,,,,,,,,,,,,,,,,,,,,20879,,,Civic,,,,,1,1
CT GROUNDS KEEPERS ASSN,,,,State of Connecticut,Other,Yes,Promote and train the landscaping profession in CT,,Orange,info@cgka.org,CT Grounds Keepers Association,203-699-9912,CT,P.O. Box 803,,3,Group without 501(c)(3) or 501(c)(4) status,http://cgka.org,6477,80-100%,222520072,,,Civic,"Residential building grounds (apartment courtyard, back yard, etc.)",EDUCATE,1,1970,0,0
CASITA MARIA,,,,,,,,,,,,,,,,,,,,,100387,,,Civic,,,,,1,1
NATIONAL GARDENING ASSOC,,,,,,,,,,,,,,,,,,,,,20561,,,Civic,,,,,1,1
ONTEORA CENTRAL SCHOOL DISTRICT,,,,,,,,,,,,,,,,,,,,,20716,,,School,,,,,1,1
MERCER COUNTY PARK COMMISSION,,,,,,,,,,,,,,,,,,,,,20522,,,Civic,,,,,1,1
CONGREGATION TEHILLAH,,,,,,,,,,,,,,,,,,,,,103337,,,Civic,,,,,1,1
CATSKILL CENTER,,,,,,,,,,,,,,,,,,,,,1520,,,Civic,,,,,1,1
HARLVEM FIFTH AVE ASSN,,,,,,,,,,,,,,,,,,,,,104258,,,Civic,,,,,1,1
ACHIEVEMENT FIRST,,,,,,,,,,,,,,,,,,,,,102297,,,School,,,,,1,1
CLINTON HOUSING DEVELOPMENT CORP,,,,,,,,,,,,,,,,,,,,,2898,,,Civic,,,,,2,2
ST ANNS SCHOOL,,,,,,,,,,,,,,,,,,,,,20880,,,School,,,,,1,1
W 119TH ST BLOCK ASSN,,,,W 119th St street trees between 5th Ave and Malcom X Blvd,Environment,Yes,Beautification of our block,,New York,,W 119th St Block Association,,NY,89 W 119th St,,3,Group without 501(c)(3) or 501(c)(4) status,,10026,80-100%,102042,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",MANAGE,1,,1,1
FERNCLIFF FOREST,,,,"68 Mt Rutsen Road
Rhinebeck NY 12572
200 Acre Forest + Game Preserve",Animal related,Yes,,,Rhinebeck,info@ferncliffforest.org,"Ferncliff Forest, Inc.",845-876-3196,NY,P.O. Box 1,,1,501(c)(3) (or has applied),http://ferncliffforest.org,12572,80-100%,141684380,,,Civic,,CONSERVE,1,1964,0,0
LOISAIDA CENTER,,,,,,,,,,,,,,,,,,,,,101110,,,Civic,,,,,1,1
HALSEY RALPH HOWARD COMM GDN,,,,,,,,,,,,,,,,,,,,,100891,,,Civic,,,,,1,1
MALCOLM X COMMUNITY IMPROVEMENT ASSN,,,,,,,,,,,,,,,,,,,,,20505,,,Civic,,,,,1,1
SUNNYSIDE REFORMED CHURCH,,,,48th Street between Skillman and 39th Ave.,Faith-based activities,Yes,"Sunnyside Reformed Church has instituted a stewards of the earth program that includes a community garden, food pantry, community dinners (rescuing food from landfill), composting, and rain water collection. We educate the congregation and community abou",,Sunnyside,Sunnychurch@verizon.net,Sunnyside Reformed Chruch,718-426-5997,NY,48-03 Skillman Ave,@SunnysideReform,3,"Religious congregation (church, synagogue, mosque, etc.), but not a 501(c)(3)",http://Sunnysidenyc.rcachurches.org,11104,20-39%,107239,,,Civic,Community Garden,MANAGE,1,2016,0,0
M CB6,,,,,,,,,,,,,,,,,,,,,105004,,,Civic,,,,,2,2
PS BK 32,,,,,,,,,,,,,,,,,,,,,106159,,,Civic,,,,,2,2
MIZUHO USA FOUNDATION,,,,,,,,,,,,,,,,,,,,,20536,,,Business,,,,,1,1
CHENCITAS COMMUNITY GARDEN,,,,,,,,,,,,,,,,,,,,,2787,,,Civic,,,,,2,2
CORNELL COOPERATIVE EXTENSION,,,,,,,,,,,,,,,,,,,,,3021,,,Civic,,,,,7,7
FRIENDS OF ST JAMES PARK,,,,,,,,,,,,,,,,,,,,,3509,,,Civic,,,,,1,1
BROOKLYN NEIGHBORHOOD IMPROVEMENT ASSOCIATION (BNIA),,,,,,,,,,,,,,,,,,,,,2682,,,Civic,,,,,1,1
BK ROT,,,,"1278 Myrtle Avenue, Brooklyn, NY 11237",Environment,Yes,"BK ROT is a community supported composting service. We employ young adults from our community at living wages to collect organic waste from businesses and organizations by bike. Working for the benefit of the urban environment, BK ROT diverts waste from",,Brooklyn,info@bkrot.org,BK ROT,,NY,,bkrot,1,501(c)(3) (or has applied),http://bkrot.org,11237,80-100%,100256,,,Civic,Community Garden,MANAGE,1,2013,3,3
ACTIVATE OUR GARDEN,,,,"on 35th ave, between 171/172th",Education,Yes,"Educate young children about wellness through gardening, sustainability, environmental awareness.  We do many experiments, hands on projects and reuse items for our projects.",,Flushing,ps32qstatestreetgarden@sfly.com,Activate Our Garden,917-583-2127,NY,171-11 35th Ave,,4,School-affiliated group,,11357,80-100%,21056,,,Civic,School yard / Outdoor classroom,PARTICIPATE/PARTNER/SUPPORT,1,2014,0,0
NYNJ BAYKEEPER,,,,"NY-NJ Harbor Estuary=
Tidal portions of Passaic River, Raritan River, Rahway River, Woodbridge River, Navesink River + Shrewsbury River, Bronx River
Arthur Kill, Kill van Kull, East River
Raritan, Newark, Jamaica, Lower and Upper New York Bays

Oyster Re",Environment,Yes,"NY/NJ Baykeeper's mission is to protect, preserve, and restore the NY-NJ Harbor Estuary.",,Matawan,info@nynjbaykeeper.org,NY/NJ Baykeeper,732-888-9870,NJ,30 Washington St.,@nynjbaykeeper,1,501(c)(3) (or has applied),http://nynjbaykeeper.org,7747,80-100%,1374,,,Civic,Waterfront / Beach / Shoreline,ADVOCATE,1,1989,9,9
TOWN OF CARMEL,,,,,,,,,,,,,,,,,,,,,20925,,,Government,,,,,1,1
EARTH ANGEL,,,,,,,,,,,,,,,,,,,,,20252,,,Civic,,,,,1,1
NATIONAL PARKS CONSERVATION ASSOC,,,,,,,,,,,,,,,,,,,,,1337,,,Civic,,,,,2,2
IMANI I GARDEN,,,,,,,,,,,,,,,,,,,,,104474,,,Civic,,,,,2,2
WASHINGTON PARK ASSOC,,,,,,,,,,,,,,,,,,,,,21010,,,Civic,,,,,1,1
7TH AVE SOUTH ALLIANCE,,,,,,,,,,,,,,,,,,,,,20013,,,Civic,,,,,1,1
NYC PLANNING,,,,,,,,,,,,,,,,,,,,,4644,,,Government,,,,,1,1
HELLS KITCHEN PARK GARDENERS/W 47TH&48TH STS BLOCK ASSN,,,,,,,,,,,,,,,,,,,,,104305,,,Civic,,,,,1,1
JOSEPH DANIEL WILSON MEMORIAL GARDENS,,,,,,,,,,,,,,,,,,,,,101036,,,Civic,,,,,1,1
AYRES-KNUTH FARM FOUNDATION,,,,"25 Cooper Road Township of Denville, NJ
Rt. 10 West down Cooper Rd to Hill Rd
Rt 10 West to Stopped of Union Hill
Triangular piece of property
Cooper Rd one side
Shoppes of Union Hill Rt 10
Other Veg",Other,Yes,"Ayres/Knuth farm foundation tree - is to engage in activities which focus on the protection and enhancement of historical, agricultural, & environmental aspects of Denville township Ayres Knuth farm. To support these endeavors the foundation will reuse &",,Township of Denville,info@ayresknuth.org,"Ayres/Knuth Farm Foundation, Inc.",973-625-934,NJ,P.O. Box 304,,1,501(c)(3) (or has applied),http://Ayresknuth.org,7834,1-19%,223602451,,,Civic,,,1,1998,0,0
LINCOLN TERRACE PARK ALLIANCE,,,,,,,,,,,,,,,,,,,,,107443,,,Civic,,,,,2,2
CHILDRENS WORKSHOP SCHOOL,,,,,,,,,,,,,,,,,,,,,100428,,,School,,,,,1,1
BATTERY PARK CITY PARKS CONSERVANCY,,,,,,,,,,,,,,,,,,,,,1039,,,Civic,,,,,1,1
YOUTH ON THE MOVE,,,,,,,,,,,,,,,,,,,,,21046,,,Civic,,,,,1,1
CANAL PARK CONSERVANCY,,,,,,,,,,,,,,,,,,,,,100374,,,Civic,,,,,1,1
HUDSON RIVER COMMUNITY SAILING,,,,The Hudson River (up to Tappan Zee) and New York Harbor,Education,Yes,Hudson River Community Sailing develops leadership and academic success in underserved New York City youth through sailing education and provides maritime education and recreation to the community at large.,,New York,info@hudsonsailing.org,Hudson River Community Sailing,212-924-1920,NY,P.O. Box 20677,,1,501(c)(3) (or has applied),http://hudsonsailing.org,10011,20-39%,100967,,,Civic,Watershed / Sewershed,EDUCATE,1,2008,1,1
IS BK 239,,,,,,,,,,,,,,,,,,,,,20433,,,School,,,,,1,1
306 W 150TH ST GARDEN,,,,,,,,,,,,,,,,,,,,,20006,,,Civic,,,,,1,1
GRACE HISTORICAL CHURCH,,,,,,,,,,,,,,,,,,,,,20374,,,Civic,,,,,1,1
HUNTS POINT RECREATION CENTER,,,,,,,,,,,,,,,,,,,,,20422,,,Civic,,,,,1,1
NYCB,,,,,,,,,,,,,,,,,,,,,20678,,,Business,,,,,1,1
Q CB 4,,,,,,,,,,,,,,,,,,,,,5066,,,Civic,,,,,1,1
LES UNITED FESTIVAL,,,,,,,,,,,,,,,,,,,,,20476,,,Civic,,,,,1,1
NYS OFFICE OF ASSEMBLY- MICHAEL MILLER,,,,,,,,,,,,,,,,,,,,,20701,,,Government,,,,,1,1
HART STREET BEATS BLOCK,,,,"Hart street, between broadway and bushwick avenues",Environment,Yes,"To beautify Hart Street, to keep the street free of litter and rats. To create an urban garden by maintaining the tree beds, and by having street planters and hanging planters scattered throughout the block. We use native plants to help with the bees and",,brooklyn,hartstreetbeatsblockassociation@yahoo.com,Hart Street Beats Block Association,,NY,495 hart street,,1,501(c)(3) (or has applied),,11221,80-100%,100909,,,Civic,Street tree,MANAGE,1,2011,0,0
ALFRED E SMITH RESIDENT ASSOC,,,,LOWER MANHATTAN SOUTH OF CANAL STREET,Housing and shelter,Yes,To advocate for residents in public housing and ensure quality of life for all.,,NEW YORK,ALFREDESMITHRA.2010@gmail.com,Alfred E. Smith Resident Association,646-707-0995,NY,15 St. James Place - Rear,,1,501(c)(3) (or has applied),,10038,20-39%,106981,,,Civic,Playground,PARTICIPATE/PARTNER/SUPPORT,1,2010,0,0
ST JOHNS BLOCK,,,,,,,,,,,,,,,,,,,,,5384,,,Civic,,,,,1,1
WATERKEEPER ALLIANCE,,,,,,,,,,,,,,,,,,,,,102058,,,Civic,,,,,1,1
FRIENDS OF KIVLEHAN PARK INC,,,,,,,,,,,,,,,,,,,,,812659106,,,Civic,,,,,1,1
LENTOL GARDEN,,,,,,,,,,,,,,,,,,,,,101084,,,Civic,,,,,1,1
PS SI 31,,,,,,,,,,,,,,,,,,,,,105844,,,School,,,,,1,1
PALTA,,,,,,,,,,,,,,,,,,,,,31052,,,Civic,,,,,1,1
RAILROAD PARK GARDEN CLUB,,,,,,,,,,,,,,,,,,,,,5090,,,Civic,,,,,1,1
NONEWAUG HIGH SCHOOL ELLIS CLARK REGIONAL AGRISCIENCE PROGRAM,,,,,,,,,,,,,,,,,,,,,31072,,,School,,,,,1,1
HARLEM ARTS ALLIANCE,,,,,,,,,,,,,,,,,,,,,3723,,,Civic,,,,,1,1
PELHAM BAY LITTLE LEAGUE,,,,,,,,,,,,,,,,,,,,,20740,,,Civic,,,,,1,1
STUYVESANT HS,,,,,,,,,,,,,,,,,,,,,107214,,,School,,,,,2,2
HARLEM MEMORIAL COMMUNITY DEVELOPMENT,,,,"West Harlem  125th st  NYS  Adam Clayton Powell State Building  , west 146th st Frederick Douglass Blvd",Community improvement and capacity building,Yes,,,new york,fredwil4@hotmail.com,"Harlem Memorial Community Development, Inc.",917-515-8046,NY,210 West 146th St  Suite 2B,non,1,501(c)(3) (or has applied),,10039,20-39%,101647,,,Civic,,ADVOCATE,1,20082016,0,0
FRIENDS OF LEONARD LIBRARY,,,,,,,,,,,,,,,,,,,,,20331,,,Civic,,,,,1,1
ONE BRICK,,,,,,,,,,,,,,,,,,,,,20715,,,Civic,,,,,1,1
HUDSON RIVER MARITIME MUSEUM,,,,,,,,,,,,,,,,,,,,,3862,,,Civic,,,,,1,1
NEW CANAAN COMMUNITY FOUNDATION,,,,,,,,,,,,,,,,,,,,,60970466,,,Civic,,,,,1,1
CENTER FOR SCIENCE TEACHING AND LEARNING,,,,,,,,,,,,,,,,,,,,,20160,,,Civic,,,,,1,1
FCNA,,,,,,,,,,,,,,,,,,,,,20278,,,Civic,,,,,1,1
CURB ALLURE,,,,,,,,,,,,,,,,,,,,,103430,,,Civic,,,,,1,1
NYC COMMUNITY LAND INITIATIVE,,,,,,,,,,,,,,,,,,,,,20639,,,Civic,,,,,1,1
GUERINOS AGAINST GRAFFITI,,,,"In Bronx at 10 Minerva Avenue, Norwond and Beford Boulevard, Oval park, bainbrige ave + E 207th Street. All work is with tree pits or graffitti remove",Community improvement and capacity building,Yes,"The Mission of our Group is to make sure our children in N.Y.C. isnt negatively impacted by disgusting Graffitti. Our Group feels that, if we are allowed to work with local organizations, like STEW-MAP 2017, we can make a difference for our children. Aft",,Bronx,SSG.NAG@gmail.com,GuerinosAgainstGraffitti,718-231-4762,NY,2805 University Avenue Suite 4H,@guerinosagainst,11,Public-private partnership,http://GaGNYC.webs.com,10467,1-19%,4633,,,Civic,"Public Right of Way (Sidewalk, street ends, traffic island, public plaza)",PARTICIPATE/PARTNER/SUPPORT,1,,0,0
USA TRACK AND FIELD,,,,,,,,,,,,,,,,,,,,,20984,,,Civic,,,,,1,1
BK SPORTS CLUB,,,,,,,,,,,,,,,,,,,,,100348,,,Civic,,,,,1,1
BOERUM HILL ASSOC,,,,,,,,,,,,,,,,,,,,,2509,,,Civic,,,,,6,6
ROCKAWAY DEVELOPMENT AND REVITALIZATION CORP,,,,,,,,,,,,,,,,,,,,,1456,,,Civic,,,,,1,1
TRANQUILITY FARM,,,,On Vernon & Throop Avenues in Central Brooklyn.,Education,Yes,"Our mission and mandate is to use the Gardens as a tool to teach and educate the community about best horticultural practices, especially as it relates to growing healthy nutritious food in an urban environment.",,New York,enak.mcpherson@gmail.com,Tranquility Farm Members,,NY,234 Vernon Ave.,,3,Group without 501(c)(3) or 501(c)(4) status,,11206,80-100%,101951,,,Civic,Community Garden,EDUCATE,1,2011,0,0
